ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
1201,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0822968947,0.2099442986,0.2316858807,0.1221734485,0.253186021,0.1007134565,1
1202,N+,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.0366095009,0.1356727377,0.1522432035,0.1099403006,0.4207251937,0.1448090637,1
1203,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0933243398,0.1218853153,0.2318181604,0.1324156909,0.307972446,0.1125840475,1
1204,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0528304059,0.0806119968,0.0562518882,0.0492138324,0.6140554959,0.1470363808,1
1205,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0370906415,0.2146177816,0.1829379649,0.1253366841,0.3852436623,0.0547732655,1
1206,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0402474111,0.2777783137,0.2487520939,0.1506798711,0.1237401145,0.1588021958,0
1207,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0479699453,0.1560126279,0.2145963588,0.0486701392,0.4543535937,0.0783973351,0
1208,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0796843958,0.2089547809,0.2660769065,0.0899533013,0.2484384991,0.1068921164,0
1209,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0500963527,0.1368148337,0.1730270627,0.0592309453,0.4873916794,0.0934391262,1
1210,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1242447218,0.1519200285,0.1408174572,0.0,0.3788970964,0.2041206962,1
1211,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0380217078,0.1779879143,0.1583109473,0.2003899941,0.2663536293,0.1589358073,0
1212,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0182690488,0.036456372,0.0753698274,0.1339897198,0.7233777155,0.0125373167,0
1213,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0372365255,0.1907220543,0.2215656062,0.192409316,0.2912119938,0.0668545043,1
1214,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.1143865257,0.1603070304,0.3099865869,0.1298767742,0.1813031877,0.1041398951,1
1215,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.2428268805,0.1385115588,0.083477283,0.060378729,0.1363336771,0.3384718717,1
1216,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0317905856,0.0921813799,0.1473558962,0.0628086469,0.6133243564,0.052539135,0
1217,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0922169181,0.2909342801,0.1384394964,0.1001220847,0.1142136605,0.2640735602,0
1218,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0477457085,0.1866220382,0.2293835692,0.1159107553,0.3276944337,0.0926434952,0
1219,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0430611785,0.2262720279,0.3740638355,0.0528812605,0.2493358773,0.0543858204,0
1220,NEU,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1841441978,0.1629554243,0.1339970732,0.0591583234,0.162793037,0.2969519444,1
1221,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1286780994,0.2343125997,0.1512115221,0.1518331185,0.1612636573,0.1727010031,0
1222,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2179832858,0.0867378789,0.161479997,0.1071944643,0.2954715305,0.1311328435,0
1223,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0618735044,0.162836651,0.1438227645,0.1558616967,0.3641923823,0.1114130011,0
